# Electron - Solar wind	 34852-2-2	Proton - Solar wind	 35259-2-2
# position	velocity	position	velocity
+2.291527e+00	+1.074379e-01	-7.222201e+04	-1.190376e+05	+4.941462e+00	-2.803819e-01	+4.730705e+04	+1.482045e+04
+2.700024e+00	+9.225036e-01	-1.475216e+05	+5.679373e+04	+4.088201e+00	+9.017056e-02	+6.210152e+04	+2.665312e+04
+3.021941e+00	+1.701245e+00	-8.119498e+04	+2.001272e+04	+4.848713e+00	+1.187058e+00	+8.234676e+04	+6.377074e+04
+1.234180e+00	+9.939243e-01	-1.145757e+05	-1.110515e+05	+2.389516e+00	+1.238818e+00	+4.231929e+04	+5.861334e+04
+4.385474e+00	-8.455534e-01	+1.103231e+04	+2.053619e+05	+2.972971e+00	-1.037107e-01	+5.514781e+04	+2.449863e+04
+3.133433e+00	+2.113253e+00	+1.240584e+05	+6.978246e+04	+4.928161e+00	-1.114425e+00	+9.177972e+04	-6.096128e+04
+1.396896e+00	+1.160332e+00	-5.158400e+04	+1.960210e+05	+4.537607e+00	-1.617963e+00	+5.162332e+04	-7.815735e+04
+2.270090e+00	-1.945622e+00	+3.255779e+04	+1.724783e+05	+4.124753e+00	+1.313805e+00	+7.983741e+04	+6.696123e+04
+2.909416e+00	+2.097877e+00	-6.127668e+04	-1.040911e+05	+4.326326e+00	-1.577710e+00	+8.536357e+04	-6.555116e+04
+1.050069e+00	+4.085508e-01	+2.809028e+04	-1.523521e+05	+4.670146e+00	-1.369011e+00	+9.302395e+04	-4.693973e+02
+2.961331e+00	-1.967006e+00	-2.355468e+05	+1.550341e+05	+4.601019e+00	-2.015414e+00	+9.461471e+04	-4.594306e+04
+1.977157e+00	-5.978224e-01	+1.097391e+05	-6.010641e+04	+4.826535e+00	-1.503003e+00	+9.653786e+04	-8.249292e+04
+3.847965e+00	-2.397711e+00	-6.856826e+04	+2.376869e+04	+3.825207e+00	-5.365564e-01	+8.173756e+04	-5.504039e+04
+3.972769e-01	-1.198313e+00	+8.318384e+04	-2.552020e+05	+4.632428e+00	-1.567319e-01	+1.008024e+05	+2.526591e+04
+4.122597e+00	+9.253397e-01	-3.943855e+04	-3.092575e+05	+4.127918e+00	-2.005306e+00	+9.005984e+04	-5.055842e+04
+2.208142e+00	-2.054091e+00	+1.103490e+05	-1.049122e+05	+4.822148e+00	-1.404857e+00	+1.072913e+05	+2.042287e+04
+2.595621e+00	+1.635684e+00	+5.079809e+04	-1.106308e+05	+4.781717e+00	+1.863007e+00	+8.519296e+04	+9.729714e+04
+3.566588e+00	+8.681474e-01	-1.249586e+05	-1.510235e+05	+3.472829e+00	-1.288711e+00	+7.853154e+04	+1.258174e+04
+2.699180e+00	+8.127301e-01	-5.630707e+04	+4.668845e+04	+4.067222e+00	-1.924896e+00	+9.310554e+04	-1.463461e+04
+1.908179e+00	+5.178907e-01	+1.436352e+05	-1.170488e+05	+3.806448e+00	-2.407459e+00	+8.716633e+04	-2.884736e+04
+2.151601e+00	-2.192305e+00	+5.587835e+04	+4.225312e+04	+4.539985e+00	+6.214578e-01	+1.040968e+05	+3.664215e+04
